"CASE";"SERIAL";"REF";"QUESTNNR";"MODE";"STARTED";"DM01";"DM02_01";"DM05";"DM06";"DM06_01";"DM06_02";"DM06_03";"DM06_04";"DM06_05";"DM06_06";"DM06_07";"DM06_08";"DM06_09";"DM06_10";"DM06_11";"O101_01";"O101_02";"O101_12";"O101_03";"O101_04";"O101_16";"O101_05";"O101_15";"O101_06";"O101_07";"O101_08";"O101_17";"O102_01";"O102_02";"O103_01";"O103_02";"O103_03";"O103_04";"O103_05";"O103_06";"S101";"S101_01";"S101_02";"S101_03";"S101_04";"S101_06";"S103";"S110";"S104";"S104_01";"S104_02";"S104_03";"S104_04";"S104_05";"S104_07";"S104_08";"S104_09";"S105";"S105_01";"S105_02";"S105_03";"S105_04";"S105_04a";"S111";"S111s";"S106";"S106_01";"S106_02";"S106_03";"S106_04";"S106_05";"S106_06";"S112";"S112_01";"S112_02";"S112_03";"S112_04";"S112_05";"S112_06";"S112_07";"S112_08";"S113";"S201_02";"S201_03";"S201_04";"S201_06";"S201_09";"S201_01";"S201_10";"S202";"S203";"S203_01";"S203_02";"S203_03";"S203_04";"S203_08";"S203_07";"S203_05";"S203_06";"S203_06a";"S204_01";"TIME001";"TIME002";"TIME003";"TIME004";"TIME005";"TIME006";"TIME_SUM";"MAILSENT";"LASTDATA";"FINISHED";"Q_VIEWER";"LASTPAGE";"MAXPAGE";"MISSING";"MISSREL";"TIME_RSI";"DEG_TIME"
82;;;"base";"interview";2021-02-02 10:39:41;4;"8";2;3;2;1;2;1;1;1;1;1;2;1;1;2;2;3;3;1;2;3;2;3;2;3;4;2;2;4;3;3;1;3;1;3;1;2;2;2;1;4;-1;4;2;1;2;2;1;2;1;1;1;1;2;1;1;;-1;;3;1;1;1;2;2;2;-2;1;1;1;1;1;1;1;1;3;2;3;2;2;3;3;3;3;2;1;1;2;2;1;1;1;1;;"Peace and Love.";271;56;15;24;27;56;183;;2021-02-02 10:47:10;1;0;6;6;0;0;0.91;19
84;;;"base";"interview";2021-02-02 10:51:22;2;"2";3;3;1;1;1;1;1;1;1;2;2;2;1;-1;-1;-1;-1;-1;3;3;2;3;2;2;2;2;2;1;2;1;1;2;3;-1;1;1;1;1;1;3;-2;-1;1;1;1;1;1;1;1;1;-1;1;1;1;1;;-1;;-1;1;1;1;1;1;1;-2;1;1;1;1;1;1;1;1;1;-1;-1;-1;-1;-1;-1;-1;2;-2;1;1;1;1;1;1;1;1;;"nothing";4;8;2;13;27;10;64;;2021-02-02 10:52:26;1;0;6;6;0;0;2.06;74
89;;;"base";"interview";2021-02-02 11:00:31;6;"3";3;1;1;1;1;1;1;2;1;1;1;1;1;3;1;-1;-1;1;4;1;-1;4;2;1;4;2;2;-1;-1;-1;-1;-1;-1;1;1;1;1;2;1;-1;-1;-1;1;1;1;1;1;1;1;1;-1;1;1;1;1;;-2;"none";1;1;2;1;1;1;1;-2;1;1;1;1;1;1;1;1;-1;-1;-1;-1;-1;5;-1;-1;4;1;1;1;1;1;1;1;1;2;"I don't write code";;639;26;2;99;57;70;259;;2021-02-02 11:15:25;1;0;6;6;2;1;0.62;0
91;;;"base";"interview";2021-02-02 11:16:54;2;"6";1;1;2;1;1;1;1;1;1;1;1;1;1;2;3;3;2;3;2;2;3;3;3;3;1;1;2;3;4;5;3;4;3;1;1;1;2;1;1;2;2;2;1;1;1;2;1;1;2;1;3;2;2;2;1;;-1;;1;1;1;1;1;1;2;-1;1;1;1;1;1;1;1;1;5;6;5;4;5;5;4;4;4;2;2;1;1;1;1;1;2;1;;"Your mama";32;82;11;242;101;134;326;;2021-02-02 11:26:56;1;0;6;6;0;0;0.26;0
92;;;"base";"interview";2021-02-02 11:17:01;1;"20";2;1;2;1;1;1;1;1;1;1;1;1;1;4;1;1;4;4;4;4;-1;-1;4;4;4;2;1;4;3;3;4;2;4;3;2;2;1;2;1;2;2;2;1;1;1;1;2;1;2;1;1;2;1;1;1;;-2;"none";1;1;1;1;1;1;2;2;1;2;1;1;2;1;1;1;3;6;1;5;3;-1;3;5;3;-1;1;1;1;1;1;1;1;1;;;2;13;2;223;54;43;178;;2021-02-02 11:22:38;1;0;6;6;2;1;1.16;17
93;;;"base";"interview";2021-02-02 11:23:12;5;"30";2;2;1;1;1;2;1;1;1;1;2;1;1;3;3;2;4;2;4;4;4;1;3;3;4;1;1;4;3;3;2;2;3;1;1;2;1;1;1;1;-2;-1;1;1;1;1;1;1;1;1;1;2;1;1;1;;-1;;2;1;1;1;2;1;2;-1;1;1;1;1;1;1;1;1;4;6;3;5;4;1;6;6;4;3;1;1;1;1;2;2;2;1;;"blABLABA";2;19;2;74;57;43;197;;2021-02-02 11:26:29;1;0;6;6;0;0;1.17;13
96;;;"base";"interview";2021-02-02 11:38:10;6;"0";5;2;1;1;1;1;2;2;1;1;1;1;1;3;3;1;3;4;4;3;3;2;3;3;4;2;1;1;2;2;3;1;1;-1;1;1;1;1;1;3;2;-1;1;1;1;1;1;1;1;1;3;2;2;2;1;;-1;;6;2;2;2;2;2;2;2;1;1;1;1;2;2;1;1;-1;3;4;4;4;3;4;4;3;2;1;1;1;2;1;2;1;1;;"Lorem ipsum dolor sit amet, consetetur sadipscing elitr, sed diam nonumy eirmod tempor invidunt ut labore et dolore magna aliquyam erat, sed diam voluptua. At vero eos et accusam et justo duo dolores et ea rebum. Stet clita kasd gubergren, no sea takimata sanctus est Lorem ipsum dolor sit amet. Lorem ipsum dolor sit amet, consetetur sadipscing elitr, sed diam nonumy eirmod tempor invidunt ut labore et dolore magna aliquyam erat, sed diam voluptua. At vero eos et accusam et justo duo dolores et ea rebum. Stet clita kasd gubergren, no sea takimata sanctus est Lorem ipsum dolor sit amet.";5;12;9;19;25;26;96;;2021-02-02 11:39:46;1;0;6;6;0;0;1.51;35
114;;;"base";"interview";2021-02-02 11:49:41;3;"5";2;3;1;1;1;2;1;1;2;2;1;1;1;2;2;3;2;2;2;3;3;3;3;3;2;2;2;5;4;4;4;4;4;2;1;2;2;1;1;4;4;2;1;1;1;2;1;2;1;1;2;1;2;2;1;;-2;"hfvjhgjh";2;2;1;2;1;1;1;2;1;1;1;2;1;2;1;1;4;4;5;4;3;4;6;6;2;2;1;1;1;2;2;1;1;1;;"Beauty and the Beer";59;10;13;13;26;19;140;;2021-02-02 11:52:01;1;0;6;6;0;0;1.47;54
115;;;"base";"interview";2021-02-02 12:12:21;3;"10";4;1;1;1;1;1;1;1;1;1;2;1;1;2;3;3;2;4;1;3;4;2;4;4;1;2;1;5;5;3;4;4;1;1;1;1;2;1;1;3;2;5;2;2;2;2;2;1;1;1;1;1;2;1;1;;-2;"GPL";4;1;2;1;2;2;2;1;1;1;1;2;1;1;1;1;5;6;4;6;3;6;6;5;1;2;2;1;2;1;1;1;1;1;;;2;27;1;83;44;32;189;;2021-02-02 12:15:30;1;0;6;6;2;1;1.36;22
116;;;"base";"interview";2021-02-04 10:26:10;2;"5";2;2;2;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;2;3;4;2;2;-1;2;2;4;-1;5;5;4;3;1;1;2;1;1;1;1;1;-1;1;1;1;1;1;1;1;1;1;1;1;1;2;"Pycharm";-1;;2;1;2;1;1;1;2;-2;1;1;1;1;1;1;1;1;-1;-1;-1;6;-1;-1;6;6;4;3;2;2;1;1;1;1;2;1;;;3;20;2;49;62;36;172;;2021-02-04 10:29:02;1;0;6;6;2;1;1.11;8
118;;;"base";"interview";2021-02-05 08:13:45;5;"20";1;1;1;1;1;1;1;1;1;2;1;1;1;3;2;1;4;2;3;4;3;2;3;3;3;2;1;3;2;4;3;2;-1;1;2;1;1;1;1;4;-2;-1;1;1;1;1;1;1;1;1;-1;1;1;1;1;;-1;;1;1;1;1;1;1;2;-2;1;1;1;1;1;1;1;1;5;6;1;4;3;1;2;5;3;2;1;1;1;1;2;2;1;1;;;18;921;2;64;40;29;173;;2021-02-05 08:31:39;1;0;6;6;2;1;0.77;3
